Record Length,40000,,Source,CH1,CH2
Sample Interval,CH1:0.0000999999975 CH2:0.0000999999975,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-3.64999985695,11.68000,2.30000
Vertical Scale,CH1:2.00 CH2:0.50,,-3.64989995956,11.68000,2.30000
Vertical Offset,CH1:-4.20000 CH2:-1.07000,,-3.64979982376,11.68000,2.30000
Horizontal Units,s,,-3.64969992638,11.68000,2.30000
Horizontal Scale,0.2500000000,,-3.64959979057,12.64000,2.34000
Model Number,OD-265,,-3.64949989319,11.68000,2.32000
Serial Number,NDS10BA3161804,,-3.64939999580,11.68000,2.32000
Software Version,6.01.01.16,,-3.64929986000,11.76000,2.30000
,,,-3.64919996262,11.68000,2.30000
,,,-3.64909982681,11.68000,2.30000
,,,-3.64899992943,11.68000,2.32000
,,,-3.64889979362,11.76000,2.30000
,,,-3.64879989624,11.76000,2.30000
,,,-3.64869999886,11.68000,2.32000
,,,-3.64859986305,11.68000,2.30000
,,,-3.64849996567,11.76000,2.30000
,,,-3.64839982986,11.76000,2.30000
,,,-3.64829993248,11.76000,2.32000
,,,-3.64819979668,11.68000,2.32000
,,,-3.64809989929,11.68000,2.30000
,,,-3.64800000191,11.76000,2.30000
,,,-3.64789986610,11.76000,2.30000
,,,-3.64779996872,11.76000,2.32000
,,,-3.64769983292,11.68000,2.32000
,,,-3.64759993553,11.76000,2.32000
,,,-3.64749979973,11.68000,2.32000
,,,-3.64739990234,11.76000,2.32000
,,,-3.64730000496,11.68000,2.30000
,,,-3.64719986916,11.68000,2.30000
,,,-3.64709997177,11.76000,2.32000
,,,-3.64699983597,11.68000,2.32000
,,,-3.64689993858,11.76000,2.30000
,,,-3.64679980278,11.68000,2.32000
,,,-3.64669990540,11.68000,2.30000
,,,-3.64660000801,11.68000,2.30000
,,,-3.64649987221,11.68000,2.30000
,,,-3.64639997482,11.68000,2.30000
,,,-3.64629983902,11.68000,2.32000
,,,-3.64619994164,11.68000,2.32000
,,,-3.64609980583,11.68000,2.32000
,,,-3.64599990845,11.68000,2.32000
,,,-3.64590001106,11.68000,2.32000
,,,-3.64579987526,11.68000,2.32000
,,,-3.64569997787,11.68000,2.30000
,,,-3.64559984207,11.68000,2.32000
,,,-3.64549994469,11.68000,2.30000
,,,-3.64539980888,11.68000,2.32000
,,,-3.64529991150,11.68000,2.32000
,,,-3.64520001411,11.68000,2.32000
,,,-3.64509987831,11.68000,2.32000
,,,-3.64499998093,11.68000,2.32000
,,,-3.64489984512,11.68000,2.32000
,,,-3.64479994774,11.68000,2.30000
,,,-3.64469981194,11.68000,2.30000
,,,-3.64459991455,11.68000,2.30000
,,,-3.64450001717,11.68000,2.32000
,,,-3.64439988136,11.68000,2.32000
,,,-3.64429998398,11.68000,2.30000
,,,-3.64419984818,11.76000,2.30000
,,,-3.64409995079,11.76000,2.30000
,,,-3.64399981499,11.68000,2.32000
,,,-3.64389991760,11.68000,2.32000
,,,-3.64380002022,11.76000,2.32000
,,,-3.64369988441,11.76000,2.32000
,,,-3.64359998703,11.76000,2.32000
,,,-3.64349985123,11.76000,2.32000
,,,-3.64339995384,11.76000,2.32000
,,,-3.64329981804,11.76000,2.32000
,,,-3.64319992065,11.76000,2.32000
,,,-3.64310002327,11.68000,2.32000
,,,-3.64299988747,11.76000,2.30000
,,,-3.64289999008,11.76000,2.32000
,,,-3.64279985428,11.76000,2.30000
,,,-3.64269995689,11.76000,2.32000
,,,-3.64259982109,11.76000,2.32000
,,,-3.64249992371,11.68000,2.32000
,,,-3.64240002632,11.76000,2.32000
,,,-3.64229989052,11.68000,2.32000
,,,-3.64219999313,11.76000,2.30000
,,,-3.64209985733,11.76000,2.32000
,,,-3.64199995995,11.68000,2.32000
,,,-3.64189982414,11.68000,2.32000
,,,-3.64179992676,11.68000,2.32000
,,,-3.64169979095,11.76000,2.32000
,,,-3.64159989357,11.68000,2.30000
,,,-3.64149999619,11.76000,2.32000
,,,-3.64139986038,11.76000,2.32000
,,,-3.64129996300,11.76000,2.32000
,,,-3.64119982719,11.68000,2.32000
,,,-3.64109992981,11.76000,2.32000
,,,-3.64099979401,11.68000,2.32000
,,,-3.64089989662,11.68000,2.32000
,,,-3.64079999924,11.68000,2.30000
,,,-3.64069986343,11.68000,2.32000
,,,-3.64059996605,11.68000,2.32000
,,,-3.64049983025,11.68000,2.32000
,,,-3.64039993286,11.68000,2.32000
,,,-3.64029979706,11.68000,2.30000
,,,-3.64019989967,11.68000,2.32000
,,,-3.64010000229,11.68000,2.30000
,,,-3.63999986649,11.68000,2.30000
,,,-3.63989996910,11.68000,2.30000
,,,-3.63979983330,11.68000,2.30000
,,,-3.63969993591,11.68000,2.32000
,,,-3.63959980011,11.76000,2.32000
,,,-3.63949990273,11.76000,2.32000
,,,-3.63940000534,11.68000,2.32000
,,,-3.63929986954,11.68000,2.32000
,,,-3.63919997215,11.68000,2.32000
,,,-3.63909983635,11.68000,2.30000
,,,-3.63899993896,11.68000,2.32000
,,,-3.63889980316,11.76000,2.32000
,,,-3.63879990578,11.68000,2.32000
,,,-3.63870000839,11.68000,2.32000
,,,-3.63859987259,11.68000,2.32000
,,,-3.63849997520,11.68000,2.32000
,,,-3.63839983940,11.68000,2.30000
,,,-3.63829994202,11.68000,2.30000
,,,-3.63819980621,11.68000,2.32000
,,,-3.63809990883,11.76000,2.32000
,,,-3.63800001144,11.76000,2.30000
,,,-3.63789987564,11.68000,2.32000
,,,-3.63779997826,11.68000,2.32000
,,,-3.63769984245,11.68000,2.32000
,,,-3.63759994507,11.68000,2.32000
,,,-3.63749980927,11.68000,2.32000
,,,-3.63739991188,11.68000,2.30000
,,,-3.63730001450,11.68000,2.32000
,,,-3.63719987869,11.68000,2.32000
,,,-3.63709998131,11.68000,2.30000
,,,-3.63699984550,11.68000,2.32000
,,,-3.63689994812,11.68000,2.32000
,,,-3.63679981232,11.68000,2.32000
,,,-3.63669991493,11.68000,2.32000
,,,-3.63660001755,11.68000,2.32000
,,,-3.63649988174,11.68000,2.32000
,,,-3.63639998436,11.68000,2.30000
,,,-3.63629984856,11.68000,2.32000
,,,-3.63619995117,11.68000,2.32000
,,,-3.63609981537,11.68000,2.32000
,,,-3.63599991798,11.68000,2.32000
